threshold,precision,recall,f1
0.26499999999999996,0.3364401683704149,0.8445283018867924,0.4811868415394539
0.26999999999999996,0.33972602739726027,0.8422641509433962,0.4841648590021692
0.27499999999999997,0.34298029556650245,0.840754716981132,0.48720752241417015
0.27999999999999997,0.3458786936236392,0.8392452830188679,0.48986784140969164
0.285,0.3476354525524585,0.8377358490566038,0.4913678618857902
0.29,0.3495268138801262,0.8362264150943396,0.49299221357063405
0.295,0.35163440177721356,0.8362264150943396,0.49508489722966936
0.3,0.35371318822023046,0.8339622641509434,0.49674084063834567
0.30499999999999994,0.3554410817772054,0.8332075471698113,0.4983073798239675
0.30999999999999994,0.3573048266925818,0.8324528301886792,0.5
0.31499999999999995,0.3585151416476718,0.8309433962264151,0.5009099181073703
0.31999999999999995,0.36039279869067103,0.8309433962264151,0.5027397260273972
0.32499999999999996,0.36234751071546323,0.8294339622641509,0.5043597980725103
0.32999999999999996,0.36438992042440316,0.8294339622641509,0.506334945865008
0.33499999999999996,0.3663663663663664,0.8286792452830188,0.5080981027302175
0.33999999999999997,0.36790869419268213,0.8271698113207547,0.5092936802973977
0.3449999999999999,0.3690958164642375,0.8256603773584905,0.5101422242947073
0.3499999999999999,0.37058423913043476,0.8233962264150944,0.5111267275708596
0.3549999999999999,0.37154554759467756,0.8218867924528301,0.5117481203007519
0.35999999999999993,0.3734111989007214,0.820377358490566,0.5132200188857413
0.36499999999999994,0.37573453162806775,0.820377358490566,0.5154101469890944
0.36999999999999994,0.378397212543554,0.819622641509434,0.5177592371871276
0.37499999999999994,0.3800841514726508,0.8181132075471698,0.5190327986593248
0.37999999999999995,0.3817412759957702,0.8173584905660377,0.5204228736184526
0.38499999999999995,0.3844515441959531,0.8173584905660377,0.5229357798165137
0.38999999999999996,0.386184681460272,0.8143396226415094,0.523913571255159
0.39499999999999996,0.3884476534296029,0.8120754716981132,0.5255189255189255
0.3999999999999999,0.39090909090909093,0.8113207547169812,0.5276073619631901
0.4049999999999999,0.39398385913426265,0.810566037735849,0.5302394470501111
0.4099999999999999,0.39628942486085345,0.8060377358490566,0.5313432835820896
0.4149999999999999,0.3977570093457944,0.8030188679245283,0.532
0.41999999999999993,0.39962335216572503,0.8007547169811321,0.5331658291457286
0.42499999999999993,0.4028201219512195,0.7977358490566038,0.5353253988351482
0.42999999999999994,0.4044512663085188,0.7954716981132075,0.5362503179852455
0.43499999999999994,0.4058755315036722,0.7924528301886793,0.5368098159509203
0.43999999999999995,0.4073929961089494,0.790188679245283,0.537612323491656
0.44499999999999995,0.4090019569471624,0.7886792452830189,0.538659793814433
