policy,replication,readmission_rate,absolute_reduction,intervention_count
risk_only,34,0.11269574944071588,0.0127703206562267,1073
network_only,34,0.12360178970917227,0.0018642803877703118,1073
risk_network,34,0.11362788963460105,0.01183818046234153,1073
random,35,0.12453392990305742,0.0018642803877703118,1073
feature_only,35,0.11493288590604027,0.011465324384787465,1073
risk_only,35,0.11493288590604027,0.011465324384787465,1073
network_only,35,0.12490678598061149,0.0014914243102162467,1073
risk_network,35,0.11726323639075317,0.009134973900074561,1073
random,36,0.12183072334079045,0.002237136465324391,1073
feature_only,36,0.1122296793437733,0.011838180462341544,1073
risk_only,36,0.1122296793437733,0.011838180462341544,1073
network_only,36,0.12201715137956749,0.0020507084265473513,1073
risk_network,36,0.11381431767337807,0.01025354213273677,1073
random,37,0.12127143922445936,0.0015846383296047734,1073
feature_only,37,0.11036539895600299,0.012490678598061147,1073
risk_only,37,0.11036539895600299,0.012490678598061147,1073
network_only,37,0.12127143922445936,0.0015846383296047734,1073
risk_network,37,0.11213646532438479,0.010719612229679348,1073
random,38,0.12164429530201343,0.0024235645041014164,1073
feature_only,38,0.11101789709172259,0.013049962714392252,1073
risk_only,38,0.11101789709172259,0.013049962714392252,1073
network_only,38,0.1226696495152871,0.0013982102908277477,1073
risk_network,38,0.11232289336316181,0.011744966442953031,1073
random,39,0.11931394481730052,0.0018642803877703118,1073
feature_only,39,0.1093400447427293,0.01183818046234153,1073
risk_only,39,0.1093400447427293,0.01183818046234153,1073
network_only,39,0.11959358687546608,0.0015846383296047595,1073
risk_network,39,0.11092468307233408,0.010253542132736757,1073
random,40,0.12136465324384788,0.0025167785234899293,1073
feature_only,40,0.11036539895600299,0.013516032811334816,1073
risk_only,40,0.11036539895600299,0.013516032811334816,1073
network_only,40,0.12201715137956749,0.0018642803877703118,1073
risk_network,40,0.1127889634601044,0.0110924683072334,1073
random,41,0.1226696495152871,0.0023303504847129036,1073
feature_only,41,0.11306860551826994,0.011931394481730057,1073
risk_only,41,0.11306860551826994,0.011931394481730057,1073
network_only,41,0.12341536167039523,0.0015846383296047734,1073
risk_network,41,0.11437360178970918,0.010626398210290822,1073
random,42,0.11819537658463833,0.0027032065622669688,1073
feature_only,42,0.10682326621923938,0.01407531692766592,1073
risk_only,42,0.10682326621923938,0.01407531692766592,1073
network_only,42,0.11922073079791201,0.0016778523489932862,1073
risk_network,42,0.10868754660700969,0.012211036539895609,1073
random,43,0.1145600298284862,0.0025167785234899293,1073
feature_only,43,0.1052386278896346,0.01183818046234153,1073
risk_only,43,0.1052386278896346,0.01183818046234153,1073
network_only,43,0.11586502609992543,0.0012117822520507082,1073
risk_network,43,0.10691648023862789,0.010160328113348244,1073
random,44,0.12462714392244593,0.002609992542878456,1073
feature_only,44,0.11474645786726323,0.012490678598061161,1073
risk_only,44,0.11474645786726323,0.012490678598061161,1073
network_only,44,0.12583892617449666,0.0013982102908277338,1073
risk_network,44,0.11651752423564504,0.010719612229679348,1073
random,45,0.12071215510812826,0.0036353467561521247,1073
feature_only,45,0.11288217747949292,0.011465324384787465,1073
risk_only,45,0.11288217747949292,0.011465324384787465,1073
network_only,45,0.1215510812826249,0.0027964205816554816,1073
risk_network,45,0.11362788963460105,0.010719612229679334,1073
random,46,0.12061894108873975,0.003448918717375099,1073
feature_only,46,0.1098993288590604,0.014168530947054447,1073
risk_only,46,0.1098993288590604,0.014168530947054447,1073
network_only,46,0.12229679343773303,0.0017710663683818129,1073
risk_network,46,0.11260253542132737,0.011465324384787479,1073
random,47,0.11959358687546608,0.0023303504847128897,1073
feature_only,47,0.1104586129753915,0.011465324384787465,1073
risk_only,47,0.1104586129753915,0.011465324384787465,1073
