seed,replication,policy,readmission_rate,absolute_reduction,intervention_count
42,12,network_only,0.11950037285607755,0.002143922445935878,1073
42,12,risk_network,0.11064504101416853,0.0109992542878449,1073
42,13,random,0.11819537658463833,0.002237136465324391,1073
42,13,risk_only,0.10896718866517524,0.011465324384787479,1073
42,13,network_only,0.11847501864280388,0.0019574944071588385,1073
42,13,risk_network,0.11008575689783744,0.010346756152125283,1073
42,14,random,0.12145786726323639,0.002237136465324391,1073
42,14,risk_only,0.11139075316927666,0.012304250559284122,1073
42,14,network_only,0.1215510812826249,0.002143922445935878,1073
42,14,risk_network,0.11297539149888143,0.010719612229679348,1073
42,15,random,0.1266778523489933,0.0018642803877703118,1073
42,15,risk_only,0.116331096196868,0.012211036539895595,1073
42,15,network_only,0.12714392244593586,0.0013982102908277338,1073
42,15,risk_network,0.11735645041014169,0.011185682326621912,1073
42,16,random,0.12490678598061149,0.0024235645041014026,1073
42,16,risk_only,0.11549217002237136,0.01183818046234153,1073
42,16,network_only,0.1255592841163311,0.001771066368381785,1073
42,16,risk_network,0.11670395227442207,0.010626398210290822,1073
42,17,random,0.11810216256524982,0.0027032065622669688,1073
42,17,risk_only,0.10738255033557047,0.013422818791946317,1073
42,17,network_only,0.11940715883668904,0.0013982102908277477,1073
42,17,risk_network,0.1092468307233408,0.011558538404175991,1073
42,18,random,0.11819537658463833,0.0027964205816554816,1073
42,18,risk_only,0.10980611483967188,0.011185682326621926,1073
42,18,network_only,0.1186614466815809,0.0023303504847129036,1073
42,18,risk_network,0.11064504101416853,0.010346756152125283,1073
42,19,random,0.11782252050708426,0.0020507084265473513,1073
42,19,risk_only,0.10775540641312453,0.012117822520507082,1073
42,19,network_only,0.11782252050708426,0.0020507084265473513,1073
42,19,risk_network,0.1092468307233408,0.010626398210290822,1073
42,20,random,0.11810216256524982,0.0028896346010439944,1073
42,20,risk_only,0.10896718866517524,0.01202460850111857,1073
42,20,network_only,0.11950037285607755,0.0014914243102162605,1073
42,20,risk_network,0.11027218493661446,0.010719612229679348,1073
42,21,random,0.11483967188665176,0.0028896346010439944,1073
42,21,risk_only,0.10570469798657718,0.01202460850111857,1073
42,21,network_only,0.11558538404175989,0.002143922445935864,1073
42,21,risk_network,0.10691648023862789,0.010812826249067861,1073
42,22,random,0.12173750932140194,0.0031692766592095467,1073
42,22,risk_only,0.11101789709172259,0.013888888888888895,1073
42,22,network_only,0.12304250559284116,0.0018642803877703257,1073
42,22,risk_network,0.11353467561521252,0.011372110365398966,1073
42,23,random,0.12332214765100671,0.0017710663683818129,1073
