policy,replication,n_patients,intervention_count,readmissions,readmission_rate,mean_transition_probability,no_intervention_readmissions,no_intervention_rate,prevented_vs_no_intervention,absolute_reduction,relative_reduction,intervention_efficiency
random,10,10728,1073,1302,0.12136465324384788,0.12111082953783296,1317,0.12276286353467561,15,0.0013982102908277338,0.011389521640091063,0.013979496738117428
risk_based,10,10728,1073,1197,0.1115771812080537,0.11077668193383391,1317,0.12276286353467561,120,0.011185682326621912,0.09111617312072884,0.11183597390493942
network_informed,10,10728,1073,1212,0.11297539149888143,0.11241783754658474,1317,0.12276286353467561,105,0.009787472035794179,0.07972665148063778,0.097856477166822
no_intervention,11,10728,0,1288,0.12005965697240865,0.12342287122431879,1288,0.12005965697240865,0,0.0,0.0,
random,11,10728,1073,1263,0.11772930648769575,0.12119403200187298,1288,0.12005965697240865,25,0.0023303504847129036,0.01940993788819878,0.023299161230195712
risk_based,11,10728,1073,1159,0.10803504847129008,0.11077668193383391,1288,0.12005965697240865,129,0.01202460850111857,0.1001552795031056,0.12022367194780988
network_informed,11,10728,1073,1167,0.10878076062639822,0.11241783754658474,1288,0.12005965697240865,121,0.011278896346010439,0.09394409937888197,0.11276794035414725
no_intervention,12,10728,0,1349,0.12574571215510813,0.12342287122431879,1349,0.12574571215510813,0,0.0,0.0,
random,12,10728,1073,1328,0.12378821774794929,0.12099841795825242,1349,0.12574571215510813,21,0.0019574944071588385,0.0155670867309118,0.0195712954333644
risk_based,12,10728,1073,1211,0.11288217747949292,0.11077668193383391,1349,0.12574571215510813,138,0.012863534675615212,0.10229799851742032,0.12861136999068035
network_informed,12,10728,1073,1234,0.11502609992542878,0.11241783754658474,1349,0.12574571215510813,115,0.010719612229679348,0.0852483320978503,0.10717614165890028
no_intervention,13,10728,0,1271,0.11847501864280388,0.12342287122431879,1271,0.11847501864280388,0,0.0,0.0,
random,13,10728,1073,1252,0.11670395227442207,0.12100495314278306,1271,0.11847501864280388,19,0.0017710663683818129,0.014948859166011083,0.017707362534948742
risk_based,13,10728,1073,1154,0.10756897837434751,0.11077668193383391,1271,0.11847501864280388,117,0.010906040268456374,0.09205350118017308,0.10904007455731593
network_informed,13,10728,1073,1168,0.10887397464578673,0.11241783754658474,1271,0.11847501864280388,103,0.009601043997017153,0.0810385523210071,0.09599254426840634
no_intervention,14,10728,0,1334,0.12434750186428038,0.12342287122431879,1334,0.12434750186428038,0,0.0,0.0,
random,14,10728,1073,1318,0.12285607755406414,0.121235201614902,1334,0.12434750186428038,16,0.0014914243102162467,0.011994002998500671,0.014911463187325256
risk_based,14,10728,1073,1201,0.11195003728560776,0.11077668193383391,1334,0.12434750186428038,133,0.01239746457867262,0.0997001499250374,0.1239515377446412
network_informed,14,10728,1073,1216,0.1133482475764355,0.11241783754658474,1334,0.12434750186428038,118,0.010999254287844887,0.088455772113943,0.10997204100652376
no_intervention,15,10728,0,1323,0.12332214765100671,0.12342287122431879,1323,0.12332214765100671,0,0.0,0.0,
random,15,10728,1073,1298,0.12099179716629381,0.12095276353751701,1323,0.12332214765100671,25,0.0023303504847129036,0.01889644746787606,0.023299161230195712
risk_based,15,10728,1073,1165,0.10859433258762118,0.11077668193383391,1323,0.12332214765100671,158,0.014727815063385538,0.1194255479969766,0.14725069897483692
network_informed,15,10728,1073,1184,0.11036539895600299,0.11241783754658474,1323,0.12332214765100671,139,0.012956748695003725,0.10506424792139075,0.12954333643988816
no_intervention,16,10728,0,1365,0.1272371364653244,0.12342287122431879,1365,0.1272371364653244,0,0.0,0.0,
random,16,10728,1073,1338,0.12472035794183445,0.12110849734192004,1365,0.1272371364653244,27,0.002516778523489943,0.01978021978021986,0.02516309412861137
risk_based,16,10728,1073,1232,0.11483967188665176,0.11077668193383391,1365,0.1272371364653244,133,0.012397464578672635,0.09743589743589745,0.1239515377446412
network_informed,16,10728,1073,1235,0.1151193139448173,0.11241783754658474,1365,0.1272371364653244,130,0.012117822520507096,0.09523809523809533,0.1211556383970177
no_intervention,17,10728,0,1311,0.12220357941834452,0.12342287122431879,1311,0.12220357941834452,0,0.0,0.0,
random,17,10728,1073,1281,0.11940715883668904,0.12109777950762105,1311,0.12220357941834452,30,0.0027964205816554816,0.022883295194508015,0.027958993476234855
risk_based,17,10728,1073,1167,0.10878076062639822,0.11077668193383391,1311,0.12220357941834452,144,0.013422818791946303,0.1098398169336384,0.1342031686859273
network_informed,17,10728,1073,1172,0.1092468307233408,0.11241783754658474,1311,0.12220357941834452,139,0.012956748695003725,0.10602593440122042,0.12954333643988816
no_intervention,18,10728,0,1279,0.11922073079791201,0.12342287122431879,1279,0.11922073079791201,0,0.0,0.0,
random,18,10728,1073,1253,0.1167971662938106,0.12104039239562805,1279,0.11922073079791201,26,0.0024235645041014164,0.020328381548084435,0.024231127679403542
risk_based,18,10728,1073,1139,0.10617076808351976,0.11077668193383391,1279,0.11922073079791201,140,0.013049962714392252,0.10946051602814705,0.13047530288909598
network_informed,18,10728,1073,1159,0.10803504847129008,0.11241783754658474,1279,0.11922073079791201,120,0.011185682326621926,0.09382329945269743,0.11183597390493942
no_intervention,19,10728,0,1295,0.12071215510812826,0.12342287122431879,1295,0.12071215510812826,0,0.0,0.0,
random,19,10728,1073,1270,0.11838180462341537,0.12100059681712856,1295,0.12071215510812826,25,0.0023303504847128897,0.019305019305019214,0.023299161230195712
risk_based,19,10728,1073,1163,0.10840790454884415,0.11077668193383391,1295,0.12071215510812826,132,0.012304250559284108,0.10193050193050186,0.12301957129543337
